label	question	sentence
1	What type of system did Tesla suggest to Adams?	In 1893 Richard Dean Adams, who headed up the Niagara Falls Cataract Construction Company sought Tesla's opinion on what system would be best to transmit power generated at the falls.
0	What manner of words does Mullet think Luther would choose?	However, Mullett suggests that given his nature, "we are free to believe that Luther would tend to select the more dramatic form of words."
0	How long ago did primates inhabit Kenya?	Fossils found in Kenya suggest that primates roamed the area more than 20 million years ago.
0	What made Luther even more short tempered than usual?	His poor physical health made him short-tempered and even harsher in his writings and comments.
1	To what may general global fields be transferred to or from?	In particular, this norm gets smaller when a number is multiplied by p, in sharp contrast to the usual absolute value (also referred to as the infinite prime).
1	Who published Tesla's writings?	Among his books are My Inventions: The Autobiography of Nikola Tesla, compiled and edited by Ben Johnston; The Fantastic Inventions of Nikola Tesla, compiled and edited by David Hatcher Childress; and The Tesla Papers.
0	What profession does Simon Kuznets have?	Economist Simon Kuznets argued that levels of economic inequality are in large part the result of stages of development.
0	Who was the leader who established the colony at Florida?	In 1564 a group of Norman Huguenots under the leadership of Jean Ribault established the small colony of Fort Caroline on the banks of the St. Johns River in what is today Jacksonville, Florida.
1	How many children did Luther and his wife have?	They embarked on what appeared to have been a happy and successful marriage, though money was often short.
0	When did it retract to a inland formation?	It expanded again during the Middle Miocene, then retracted to a mostly inland formation at the last glacial maximum.
0	What percentage of money raised by the Host Committee will be used for charitable causes?	Host Committee has vowed to be "the most giving Super Bowl ever", and will dedicate 25 percent of all money it raises for philanthropic causes in the Bay Area.
0	Where was the practice place the Panthers used for the Super Bowl?	The Panthers used the San Jose State practice facility and stayed at the San Jose Marriott.
1	Genghis Khan was in the process of taking what capital city when he died?	According to The Secret History of the Mongols Genghis Khan fell from his horse while hunting and died because of the injury.
0	What enzymes in saliva are antibacterial in nature?	Enzymes such as lysozyme and phospholipase A2 in saliva, tears, and breast milk are also antibacterials.
1	What was the most recent Super Bowl hosted in the South Florida/Miami area?	The San Francisco Bay Area last hosted in 1985 (Super Bowl XIX), held at Stanford Stadium in Stanford, California, won by the home team 49ers.
0	What did Tesla work on in 1888?	During that year, Tesla worked in Pittsburgh, helping to create an alternating current system to power the city's streetcars.
1	What happened to the dynamos in the power station?	While experimenting, Tesla inadvertently faulted a power station generator, causing a power outage.
1	What is the festival of food and drink known as?	NewcastleGateshead, a festival of food and drink, runs for 2 weeks each year in mid June.
1	How did the new king react to the Huguenots?	At first he sent missionaries, backed by a fund to financially reward converts to Catholicism.
1	When did ABC first start?	Leonard Goldenson, who had been the head of UPT, made the new television network profitable by helping develop and greenlight many successful series.
0	What is the term for catching the motivation expressed by the teacher?	Finally, the concept of emotional contagion, may also apply.
0	When were the French wars of religion?	The French Wars of Religion in the 16th century and French Revolution in the 18th successively destroyed much of what existed in the way of the architectural and artistic remnant of this Norman creativity.
1	Who created ABC's Wide World of Sports?	Always in search of new programs that would help it compete with NBC and CBS, ABC's management believed that sports could be a major catalyst in improving the network's market share.
1	What does LGM stands for?	There is debate, however, over how extensive this reduction was.
1	What was suggested at the Symposium in 1967	He gave a talk on the proposal in 1966, after which a person from the Ministry of Defence (MoD) told him about Baran's work.
1	By what method did Maududi want to change the hearts and minds of individuals?	Maududi also believed that Muslim society could not be Islamic without Sharia, and Islam required the establishment of an Islamic state.
0	How many times has the South Florida/Miami area hosted the Super Bowl?	The South Florida/Miami area has previously hosted the event 10 times (tied for most with New Orleans), with the most recent one being Super Bowl XLIV in 2010.
0	How many Doctor Who soundtracks have been released since 2005?	Six soundtrack releases have been released since 2005.
0	What is floridean?	Rhodoplasts synthesize a form of starch called floridean, which collects into granules outside the rhodoplast, in the cytoplasm of the red alga.
0	What is the name of the village that once existed in what is now downtown Jacksonville?	One early map shows a village called Ossachite at the site of what is now downtown Jacksonville; this may be the earliest recorded name for that area.
1	When did Kenya reach the semi-finals?	The women's team has competed at the Olympics and World Championships but without any notable success.
1	In 1785 James Hutton presented what paper to the Royal Society of Edinburgh?	James Hutton is often viewed as the first modern geologist.
0	What test is especially useful for numbers of the form 2p - 1?	The Lucas–Lehmer test is particularly fast for numbers of this form.
0	At what temperature will oxygen condense?	Oxygen condenses at 90.20 K (−182.95 °C, −297.31 °F), and freezes at 54.36 K (−218.79 °C, −361.82 °F).
1	What was given as the cause of death?	His body was later found by maid Alice Monaghan after she had entered Tesla's room, ignoring the "do not disturb" sign that Tesla had placed on his door two days earlier.
1	Which Doctor Who-related song reached Number One in the UK?	In 1978 a disco version of the theme was released in the UK, Denmark and Australia by the group Mankind, which reached number 24 in the UK charts.
0	What alternate payment did Edison offer Tesla?	Instead, Edison offered a US$10 a week raise over Tesla's US$18 per week salary; Tesla refused the offer and immediately resigned.
1	How many times has Doctor Who won the Hugo for Best Dramatic Presentation?	Doctor Who has been nominated for over 200 awards and has won over a hundred of them.
1	What was Newcastle named as the most type of city in the UK?	The report claimed that these noise levels would have a negative long-term impact on the health of the city's residents.
0	What was the age difference between Newton and Manning in Super Bowl 50?	Manning and Newton also set the record for the largest age difference between opposing Super Bowl quarterbacks at 13 years and 48 days (Manning was 39, Newton was 26).
1	What was the title of Philo's work?	One of the first known experiments on the relationship between combustion and air was conducted by the 2nd century BCE Greek writer on mechanics, Philo of Byzantium.
1	What year did King Sigismund III Vasa move his court to Warsaw?	In 1573 the city gave its name to the Warsaw Confederation, formally establishing religious freedom in the Polish–Lithuanian Commonwealth.
0	What South Korean car manufacturer purchased the factor in 1995?	In 1995 the factory was purchased by the South Korean car manufacturer Daewoo, which assembled the Tico, Espero, Nubia, Tacuma, Leganza, Lanos and Matiz there for the European market.
1	Who was the final Prime Minister of East Germany?	Frederick William, Elector of Brandenburg, invited Huguenots to settle in his realms, and a number of their descendants rose to positions of prominence in Prussia.
0	What are the three construction subsectors?	To recognize the differences of companies in this sector, it is divided into three subsectors: building construction, heavy and civil engineering construction, and specialty trade contractors.
1	What was the name of the first Huguenot church in the New World?	A number of New Amsterdam's families were of Huguenot origin, often having emigrated as refugees to the Netherlands in the previous century.
1	Who was exempt from the meritocratic principles of the Mongol Empire?	The Mongol Empire did not emphasize the importance of ethnicity and race in the administrative realm, instead adopting an approach grounded in meritocracy.
1	Interest groups and government agencies that were concerned with energy were no match for who?	In the United States, scholars argue that there already existed a negotiated settlement based on equality between both parties prior to 1973.
1	Who was Kaidu's grandfather?	He feared that his dependence on Chinese officials left him vulnerable to future revolts and defections to the Song.
1	What is the last name of the player who was Manning's top receiver for Super Bowl 50?	Linebacker Luke Kuechly had 11 total tackles, while Thomas Davis had seven, despite playing just two weeks after breaking his right arm in the NFC title game.
1	Where in South Carolina did Huguenot nobility settle?	He became pastor of the first Huguenot church in North America in that city.
0	How much Victorian farmland is farmed in grains?	More than 26,000 square kilometres (10,000 sq mi) of Victorian farmland are sown for grain, mostly in the state's west.
0	How did trying to establish a devolved Scottish Assembly go in 1979?	The 1979 Scottish devolution referendum to establish a devolved Scottish Assembly failed.
1	To what is singlet oxygen more reactive?	Singlet oxygen is a name given to several higher-energy species of molecular O_2 in which all the electron spins are paired.
1	What theoretical device is attributed to Alan Turing?	Before the actual research explicitly devoted to the complexity of algorithmic problems started off, numerous foundations were laid out by various researchers.
1	Who owns more wealth than the bottom 90 percent of people in the U.S.?	According to PolitiFact the top 400 richest Americans "have more wealth than half of all Americans combined."
0	What day of the week was Media Day held on for Super Bowl 50?	The game's media day, which was typically held on the Tuesday afternoon prior to the game, was moved to the Monday evening and re-branded as Super Bowl Opening Night.
1	Who lost 3 yards on a tackle by Shaq Thompson?	A pair of carries by C. J. Anderson moved the ball up 20 yards to the Panthers 14-yard line, but Carolina's defense dug in over the next three plays.
1	Who is currently the President of the Council?	The second main legislative body is the Council, which is composed of different ministers of the member states.
1	Where does the Rhine make a distinctive turn to the north?	The Alpine Rhine begins in the most western part of the Swiss canton of Graubünden, and later forms the border between Switzerland to the West and Liechtenstein and later Austria to the East.
1	The symbol for mercuric oxide is?	He noted that candles burned brighter in the gas and that a mouse was more active and lived longer while breathing it.
1	How many times had Thomas Davis torn his ACL in his career?	Despite this, he insisted he would still find a way to play in the Super Bowl.
1	Where is Harvard stadium located?	The Harvard Medical School, Harvard School of Dental Medicine, and the Harvard School of Public Health are located on a 21-acre (8.5 ha)
0	What happens to the norm when a number is multiplied by p?	In particular, this norm gets smaller when a number is multiplied by p, in sharp contrast to the usual absolute value (also referred to as the infinite prime).
0	Persistent unemployment has what effect on long-term economic growth?	High and persistent unemployment, in which inequality increases, has a negative effect on subsequent long-run economic growth.
0	Complexity classes are generally classified into what?	Of course, some complexity classes have complicated definitions that do not fit into this framework.
0	Who was Tesla's main influence in Karlovac?	In 1870, Tesla moved to Karlovac, to attend school at the Higher Real Gymnasium, where he was profoundly influenced by a math teacher Martin Sekulić.:32
1	How many seasons did NYPD Blue last?	Daniel Burke departed from Capital Cities/ABC in February 1994, with Thomas Murphy taking over as president before ceding control to Robert Iger.
1	Which Count did the Prince strike an arrangement with?	The Count supported mercantilism and welcomed technically skilled immigrants into his lands, regardless of their religion.
1	Why is using O2 instead of CO2 less efficient?	Rubisco cannot distinguish between oxygen and carbon dioxide very well, so it can accidentally add O2 instead of CO2 to RuBP.
0	What ideal thermodynamic cycle analyzes the process by which steam engines work?	The ideal thermodynamic cycle used to analyze this process is called the Rankine cycle.
0	What causes the population of ctenophora to grow at an explosive rate?	The combination of hermaphroditism and early reproduction enables small populations to grow at an explosive rate.
1	Who succeeded Dick Clark on ABC's New Year's broadcasts?	Under its current contract with the Miss America Organization, ABC will continue to broadcast the pageant through 2016.
0	From where was von Braun transferred to go to NASA?	In the midst of these plans, von Braun was transferred from the Army to NASA, and made Director of the Marshall Space Flight Center.
1	Which fault can produce a magnitude earthquake of 8.0?	The USGS has released a California Earthquake forecast which models Earthquake occurrence in California.
0	What is the opposite of an ongoing role of teaching?	Informal learning may be assisted by a teacher occupying a transient or ongoing role, such as a family member, or by anyone with knowledge or skills in the wider community setting.
0	What event followed the battle?	Their defeat by the Swabian League at the Battle of Frankenhausen on 15 May 1525, followed by Müntzer's execution, brought the revolutionary stage of the Reformation to a close.
0	What is the purpose of the ASER?	The Annual Status of Education Report (ASER), which evaluates learning levels in rural India, has been reporting poorer academic achievement in government schools than in private schools.
1	How many people died in the outbreak of 1471?	By the end of 1350, the Black Death subsided, but it never really died out in England.
1	Who said chloroplasts are similar to cyanobacteria?	Chloroplasts are only found in plants and algae.
1	Where did Temüjin hide during his escape from the Tayichi'ud?	Temüjin's reputation also became widespread after his escape from the Tayichi'ud.
1	What is the process of vaccination also known as?	This deliberate induction of an immune response is successful because it exploits the natural specificity of the immune system, as well as its inducibility.
1	What year did Tesla enroll at an engineering school?	He never graduated from the university and did not receive grades for the last semester.
0	Where was Genghis Khan buried?	He was buried in an unmarked grave somewhere in Mongolia at an unknown location.
0	What did frozen subsoil and expanded alpine glaciers begin to do?	As northwest Europe slowly began to warm up from 22,000 years ago onward, frozen subsoil and expanded alpine glaciers began to thaw and fall-winter snow covers melted in spring.
1	In modern times, what is said about civil disobedience?	Marshall Cohen notes, "It has been used to describe everything from bringing a test-case in the federal courts to taking aim at a federal official.
1	What proclamation gave Huguenots special privileges in Brandenburg?	Around 1685, Huguenot refugees found a safe haven in the Lutheran and Reformed states in Germany and Scandinavia.
0	Who came up with the theory of relativity?	When Albert Einstein formulated his theory of general relativity (GR)
1	How many doctors were in Kenya in 2011?	Nurses treat 80% of the population who visit dispensaries, health centres and private clinics in rural and under-served urban areas.
0	What kind of techniques were used to create the theme?	The various parts were built up using musique concrète techniques, by creating tape loops of an individually struck piano string and individual test oscillators and filters.
1	During the compression stage of the Rankine cycle, what state is the working fluid in?	By condensing the fluid, the work required by the pump consumes only 1% to 3% of the turbine power and contributes to a much higher efficiency for a real cycle.
1	What is the foundation for separation results within complexity classes?	For instance, the time hierarchy theorem tells us that P is strictly contained in EXPTIME, and the space hierarchy theorem tells us that L is strictly contained in PSPACE.
0	How many yards was the field goal Gano made to make the score 16-10?	A 16-yard reception by Devin Funchess and a 12-yard run by Stewart then set up Gano's 39-yard field goal, cutting the Panthers deficit to one score at 16–10.
0	What percentage of France's population is protestant today?	Approximately one million Protestants in modern France represent some 2% of its population.
0	Who makes up the BBC commentary team with Greg Brady and Rocky Boiman?	The BBC will carry its own British English broadcast, with Greg Brady, Darren Fletcher and Rocky Boiman on commentary.
0	When did Menich serve as President?	The first Warsaw President was Jan Andrzej Menich (1695–1696).
0	How many farms are there in Victoria?	As of 2004, an estimated 32,463 farms occupied around 136,000 square kilometres (52,500 sq mi) of Victorian land.
1	How many Victorians are Buddhist?	Victoria is also home of 152,775 Muslims and 45,150 Jews.
0	How many membranes do apicoplasts have?	They are bounded by four membranes, but the membranes are not connected to the endoplasmic reticulum.
1	In what state is the largest Huguenot Society located?	The Huguenot Society of America maintains Manakin Episcopal Church in Virginia as an historic shrine with occasional services.
0	What contains a nearly verbatim of parliamentary debates?	Proceedings are also recorded in text form, in print and online, in the Official Report, which is the substantially verbatim transcript of parliamentary debates.
1	How are the combs spaced?	From each balancer in the statocyst a ciliary groove runs out under the dome and then splits to connect with two adjacent comb rows, and in some species runs all the way along the comb rows.
1	After the merger between ABC and Capital Cities, who became the vice president of ABC broadcasting?	The merger between ABC and Capital Cities received federal approval on September 5, 1985.
1	How many affiliates carry the ABC network feed in 480i standard definition?	ABC's master feed is transmitted in 720p high definition, the native resolution format for The Walt Disney Company's U.S. television properties.
1	The WJZ callsign would then be assigned to an ABC affiliate in what city in 1959?	The WABC call letters were previously used by the flagship station of CBS Radio (now WCBS (AM)) until 1946.
0	When did Torchwood premier?	The series debuted on BBC Three on 22 October 2006.
1	What brought the downfall of Jacksonville filmmaking?	Over the course of the decade, more than 30 silent film studios were established, earning Jacksonville the title of "Winter Film Capital of the World".
0	What day was Super Bowl 50 media day switched to?	The game's media day, which was typically held on the Tuesday afternoon prior to the game, was moved to the Monday evening and re-branded as Super Bowl Opening Night.
0	How many Victorians are Catholic?	Roman Catholics form the single largest religious group in the state with 26.7% of the Victorian population, followed by Anglicans and members of the Uniting Church.
1	Why do land plants have more and smaller chloroplasts?	Mitochondria have also been observed to follow chloroplasts as they move.
0	Le grand asks for a variance of what three terms?	He encourages a distinction between lawful protest demonstration, nonviolent civil disobedience, and violent civil disobedience.
0	Where is a palm house with subtropic plants from all over the world on display?	They have extensive botanical collection of rare domestic and foreign plants, while a palm house in the New Orangery displays plants of subtropics from all over the world.
0	First published by Sir Charles Lyell in 1830 this book was called what?	Sir Charles Lyell first published his famous book, Principles of Geology, in 1830.
0	What does the chloroplast peripheral reticulum do?	Its purpose is thought to be to increase the chloroplast's surface area for cross-membrane transport between its stroma and the cell cytoplasm.
0	How did the plague infiltrate Alexandria?	By autumn 1347, the plague reached Alexandria in Egypt, probably through the port's trade with Constantinople, and ports on the Black Sea.
1	Who appoints the board of the European Central Bank?	Beyond the Commission, the European Central Bank has relative executive autonomy in its conduct of monetary policy for the purpose of managing the euro.
0	What came into force after the new constitution was herald?	As of that day, the new constitution heralding the Second Republic came into force.
0	Before dinner what were Tesla's working hours?	Tesla worked every day from 9:00 a.m. until 6:00 p.m. or later, with dinner from exactly 8:10 p.m., at Delmonico's restaurant and later the Waldorf-Astoria Hotel.
0	Who granted Newcastle a new charter in 1589?	Incorporated first by Henry II, the city had a new charter granted by Elizabeth in 1589.
1	How did the final Song emperor die?	Song loyalists escaped from the capital and enthroned a young child as Emperor Bing of Song.
0	Who handled the color commentary for Denver's radio stations?	In Denver, KOA (850 AM) and KRFX (103.5 FM) will carry the game, with Dave Logan on play-by-play and Ed McCaffrey on color commentary.
1	Families with French names in South Africa speak what language today?	Many of the farms in the Western Cape province in South Africa still bear French names.
1	What is another way of referring to stators?	The stator consists of a similar, but fixed, series of blades that serve to redirect the steam flow onto the next rotor stage.
1	Who developed DATAPAC	Some such as DATAPAC and TRANSPAC were initially implemented with an X.25 external interface.
0	How many siblings did Tesla have?	Tesla was the fourth of five children.
1	What does coastal beriods use as teeth?	These variations enable different species to build huge populations in the same area, because they specialize in different types of prey, which they capture by as wide a range of methods as spiders use.
1	What radio network carried the Super Bowl?	Jim Gray will anchor the pre-game and halftime coverage.
1	How is Genghis Khan spelled in Turkic?	Temüjin is written in Chinese as simplified Chinese: 铁木真; traditional Chinese: 鐵木眞; pinyin: Tiěmùzhēn.
1	What does connecting different Sky Q boxes enable them to do?	The Sky Q Mini set top boxes connect to the Sky Q Silver set top boxes with a Wi-Fi or Power-line connection rather than receive their own satellite feeds.
1	How many miners died in the typhoid outbreak of 1854?	Although there was some racism directed at them, there was not the level of anti-Chinese violence that was seen at the Lambing Flat riots in New South Wales.
0	What is colonialism's core meaning?	Colonialism's core meaning is the exploitation of the valuable assets and supplies of the nation that was conquered and the conquering nation then gaining the benefits from the spoils of the war.
1	When did Warsaw start to rebuild?	During the Second World War, Warsaw was razed to the ground by bombing raids and planned destruction.
0	The oil crisis caused oil companies to increase oil supplies in which area?	The embargo left oil companies searching for new ways to increase oil supplies, even in rugged terrain such as the Arctic.
1	What was Warsaw ranked the 7th greatest of?	It also has one of the fastest growing economies, with GDP growth at 6.5 percent in 2007 and 6.1 percent in the first quarter of 2008.
1	How many seats does Victoria have in the Senate?	The personal representative of the Queen of Australia in the state is the Governor of Victoria, currently Linda Dessau.
0	Downtown Santa Monica and Downtown Glendale are a part of which area?	Within the Los Angeles Area are the major business districts of Downtown Burbank, Downtown Santa Monica, Downtown Glendale and Downtown Long Beach.
1	What was Tesla's mother's name?	His father, Milutin Tesla, was a Serbian Orthodox priest.
0	From whom did the Huguenots purchase the land where they settled?	They purchased from John Pell, Lord of Pelham Manor, a tract of land consisting of six thousand one hundred acres with the help of Jacob Leisler.
1	When did Warsaw become the center of the Congress Poland?	Warsaw remained the capital of the Polish–Lithuanian Commonwealth until 1796, when it was annexed by the Kingdom of Prussia to become the capital of the province of South Prussia.
0	What is the name for a teacher of just one person?	A teacher who teaches on an individual basis may be described as a tutor.
0	What do these teachers NOT do?	These teachers do not teach by rote but attempt to find new invigoration for the course materials on a daily basis.
1	Who designed the Sage Gateshead music center?	As a tourist promotion, Newcastle and Gateshead have linked together under the banner "NewcastleGateshead", to spearhead the regeneration of the North-East.
1	Who are FDA laws against importing medications aimed at?	In the United States, there has been a push to legalize importation of medications from Canada and other countries, in order to reduce consumer costs.
1	The Tower District is centered around which historic theatre?	The theater was built in 1939 and is at Olive and Wishon Avenues in the heart of the Tower District.
0	What type of surnames is their a strong presence of?	There is a strong presence of Border Reiver surnames, such as Armstrong, Charlton, Elliot, Johnstone, Kerr, Hall, Nixon, Little and Robson.
0	How many people lived in Fresno in 2000, according to the Census Bureau?	As of the census of 2000, there were 427,652 people, 140,079 households, and 97,915 families residing in the city.
1	How many pages was the Kalven Report statement?	After continued turmoil, a university committee in 1967 issued what became known as the Kalven Report.
0	How many major bus stations are in the city of Newcastle?	There are two major bus stations in the city: Haymarket bus station and Eldon Square bus station.
0	Who invited Washington to dine with him?	Jacques Legardeur de Saint-Pierre, who succeeded Marin as commander of the French forces after the latter died on October 29, invited Washington to dine with him.
0	Who sculpted the representations of Prince Albert and Queen Victoria found in the main entrance?	Prince Albert appears within the main arch above the twin entrances, Queen Victoria above the frame around the arches and entrance, sculpted by Alfred Drury.
0	How much oxygen is found is a liter of fresh water under normal conditions?	At 25 °C and 1 standard atmosphere (101.3 kPa) of air, freshwater contains about 6.04 milliliters (mL) of oxygen per liter, whereas seawater contains about 4.95 mL per liter.
1	What is the term for the lack of obsevable free quarks?	The failure of many searches for free quarks has shown that the elementary particles affected are not directly observable.
1	Who are the chief administrators of the church?	Subordinate to the General Conference are the jurisdictional and central conferences which also meet every four years.
0	Because speakers are drawn from across Scotland, what do the represent the balance of?	Speakers are drawn from across Scotland and are chosen to represent the balance of religious beliefs according to the Scottish census.
1	What proclamation officially ended limited Huguenot autonomy?	The city's political institutions and the university were all handed over to the Huguenots.
0	What were Huguenots who stayed in France eventually known as?	Those Huguenots who stayed in France became Catholics and were called "new converts".
0	What other aspect of Luther's life was affected by his health?	His poor physical health made him short-tempered and even harsher in his writings and comments.
0	Where was the Rhine regulated with an upper canal?	A regulation of the Rhine was called for, with an upper canal near Diepoldsau and a lower canal at Fußach, in order to counteract the constant flooding and strong sedimentation in the western Rhine Delta.
1	How many sororities are apart of the university?	Four of the sororities are members of the National Panhellenic Conference, and ten of the fraternities form the University of Chicago Interfraternity Council.
1	Who holds an annual International Arts Fair in Newcastle?	In October, there is the Design Event festival—an annual festival providing the public with an opportunity to see work by regional, national and international designers.
0	How does inequality prevent growth?	Economist Joseph Stiglitz presented evidence in 2009 that both global inequality and inequality within countries prevent growth by limiting aggregate demand.
1	Starting in what year has Harvard topped the Academic Rankings of World Universities?	Professional Ranking World Universities ranked Harvard 1st university in the world in terms of number of alumni holding CEO position in Fortune Global 500 companies.
0	In what meeting did Shirley lay out plans for 1756?	At a meeting in Albany in December 1755, he laid out his plans for 1756.
0	When have Lutheran Churches repudiated Luther's statements about the Jews?	Since the 1980s, Lutheran Church denominations have repudiated Martin Luther's statements against the Jews and have rejected the use of them to incite hatred against Lutherans.
0	When did Pachauri resign as chair of the IPCC?	Before this election, the IPCC was led by his vice-Chair Ismail El Gizouli, who was designated acting Chair after the resignation of Rajendra K. Pachauri in February 2015.
1	Who were two of the founders of the United Methodist Church?	Outler's work proved pivotal in the work of union, and he is largely considered the first United Methodist theologian.
0	What position did the tax collector that arrested Thoreau get?	The tax collector who arrested him rose to higher political office, and Thoreau's essay was not published until after the end of the Mexican War.
0	What happens if a member doesn't vote the party line?	Errant members can be deselected as official party candidates during future elections, and, in serious cases, may be expelled from their parties outright.
0	What German ruler invited Huguenot immigration?	Frederick William, Elector of Brandenburg, invited Huguenots to settle in his realms, and a number of their descendants rose to positions of prominence in Prussia.
0	What perk did religious leaders, teachers, and doctors get in the Mongol Empire?	There were tax exemptions for religious figures and, to some extent, teachers and doctors.
0	What Star Trek episode has a nod to Doctor Who?	There have also been many references to Doctor Who in popular culture and other science fiction, including Star Trek: The Next Generation ("The Neutral Zone") and Leverage.
1	What was the Fresno Fairgrounds used as?	During 1942, Pinedale, in what is now North Fresno, was the site of the Pinedale Assembly Center, an interim facility for the relocation of Fresno area Japanese Americans to internment camps.
0	Where did the Meuse flow before the flood?	Before the St. Elizabeth's flood (1421), the Meuse flowed just south of today's line Merwede-Oude Maas to the North Sea and formed an archipelago-like estuary with Waal and Lek.
1	What surrounds Plastoglobuli?	Plastoglobuli are found in all chloroplasts, but become more common when the chloroplast is under oxidative stress, or when it ages and transitions into a gerontoplast.
1	What is the other country the Rhine separates Switzerland to?	Near Sargans a natural dam, only a few metres high, prevents it from flowing into the open Seeztal valley and then through Lake Walen and Lake Zurich into the river Aare.
1	Who has limited productive potential when faced with less access to education?	As a result, those who are unable to afford an education, or choose not to pursue optional education, generally receive much lower wages.
1	Who were the astronauts aboard the Apollo 11 mission?	The astronauts returned safely on July 24.
1	What performer lead the Super Bowl XLVIII halftime show?	It was the third-most watched U.S. broadcast ever.
1	What kind of graph is an example of an input used in a decision problem?	An example of a decision problem is the following.
1	What famous 5.9-mile athletic event takes place annually in Newcastle in June?	The city's speedway team Newcastle Diamonds are based at Brough Park in Byker, a venue that is also home to greyhound racing.
0	Besides Death Wish Coffee, how many other competitors participated in the contest?	Death Wish Coffee beat out nine other contenders from across the United States for the free advertisement.
0	What was he hoping to stimulate with the toe squishing?	He squished his toes one hundred times for each foot every night, saying that it stimulated his brain cells.
1	Full size working engines on what vehicles sometimes use oscillating cylinder steam engines?	An oscillating cylinder steam engine is a variant of the simple expansion steam engine which does not require valves to direct steam into and out of the cylinder.
1	Which laws mentioned predate EU law?	In European Union law the general principle of legal certainty prohibits Ex post facto laws, i.e. laws should not take effect before they are published.
1	In the wake of the Jacksonville fire, what did the Florida Governor do?	Known as the "Great Fire of 1901", it was one of the worst disasters in Florida history and the largest urban fire in the southeastern United States.
1	How far is Fresno from Los Angeles?	Fresno is in the center of the San Joaquin Valley and is the largest city in the Central Valley, which contains the San Joaquin Valley.
0	Where was Tesla hoping to attend classes in Prague?	Unfortunately, he arrived too late to enroll at Charles-Ferdinand University; he never studied Greek, a required subject; and he was illiterate in Czech, another required subject.
1	What Lionsgate trailer was shown during the Super Bowl?	20th Century Fox, Lionsgate, Paramount Pictures, Universal Studios and Walt Disney Studios paid for movie trailers to be aired during the Super Bowl.
0	What is another name for the Yosemite Freeway?	State Route 41
0	Which examples of fashion does the museum continue to acquire for its collection?	The museum continues to acquire examples of modern fashion to add to the collection.
0	When was liquid oxygen developed for commercial use?	The first commercially viable process for producing liquid oxygen was independently developed in 1895 by German engineer Carl von Linde and British engineer William Hampson.
1	When did Tesla claim to have built the weapon?	Only a little time will pass before I can give it to the world."
0	Who handled the play-by-play for the Denver radio stations?	In Denver, KOA (850 AM) and KRFX (103.5 FM) will carry the game, with Dave Logan on play-by-play and Ed McCaffrey on color commentary.
1	When was Kenya Electricity Generating Company established?	To become energy sufficient, Kenya aims to build a nuclear power plant by 2017.
0	What spurred increased support for government reform?	In 1964 all 15 of Duval County's public high schools lost their accreditation.
1	Along with mills and mines, in what industrial locations did steam drive machines?	There have at one time or another been steam-powered farm tractors, motorcycles (without much success) and even automobiles as the Stanley Steamer.
0	Where did ITV Tyne Tees move in 2005?	In 2005 it moved to a new facility on The Watermark business park next to the MetroCentre in Gateshead.
1	Which Senator was a strong advocate for the Pico Act?	However, the secession crisis following the election of Abraham Lincoln in 1860 led to the proposal never coming to a vote.
1	Where was the ball recovered?	There would be no more scoring in the third quarter, but early in the fourth, the Broncos drove to the Panthers 41-yard line.
1	What type of company is Van Gend en Loos?	Because article 30 clearly, unconditionally and immediately stated that no quantitative restrictions could be placed on trade, without a good justification, Van Gend en
0	What was the newer county added to the list?	In 1999, the Times added a newer county—Imperial—to that list.
1	When was the FSO Car Factory founded?	In 2005 the factory was sold to AvtoZAZ, a Ukrainian car manufacturer which assembled there the Chevrolet Aveo.
0	What service did Verizon customers need to use to stream the game on their smartphones?	Due to Verizon Communications exclusivity, streaming on smartphones was only provided to Verizon Wireless customers via the NFL Mobile service.
0	Who can be in the Victorian cabinet?	Cabinet consists of representatives elected to either house of parliament.
1	What other location did Apollo 1 test at besides Kennedy Space Center?	Grissom, White, and Chaffee decided to name their flight Apollo 1 as a motivational focus on the first manned flight.
1	When was Doctor Who viewing at its highest level?	Its late 1980s performance of three to five million viewers was seen as poor at the time and was, according to the BBC Board of Control, a leading cause of the programme's 1989 suspension.
1	How long has the imagery of the mermaid been used by Warsaw?	The mermaid (syrenka) is Warsaw's symbol and can be found on statues throughout the city and on the city's coat of arms.
0	What is the English translation of Kunskapsskolan?	For instance, the biggest school chain, Kunskapsskolan (“The Knowledge School”), offers 30 schools and a web-based environment, has 700 employees and teaches nearly 10,000 pupils.
0	How does the level of tuition in German private schools compare to private schools in other Western European countries?	Therefore, most Ersatzschulen have very low tuition fees and/or offer scholarships, compared to most other Western European countries.
1	How many vector equations did Heaviside and Gibbs reformilate Maxwell's 20 scalar equtions into?	These "Maxwell Equations" fully described the sources of the fields as being stationary and moving charges, and the interactions of the fields themselves.
1	Where does the Ijssel branch flow?	This discharge distribution has been maintained since 1709, by river engineering works, including the digging of the Pannerdens canal and since the 20th century, with the help of weirs in the Nederrijn river.
0	What is the largest city the Rhine runs through?	The biggest city on the river Rhine is Cologne, Germany with a population of more than 1,050,000 people.
1	The inside of a ctenophore is lined with what?	In other parts of the canal system, the gastrodermis is different on the sides nearest to and furthest from the organ that it supplies.
1	What kind of chloroplasts do Euglenophytes have?	Euglenophyte chloroplasts have a pyrenoid and thylakoids stacked in groups of three.
