label	premise	hypothesis
2	This child is on the library steps.	The child is on the school steps.
2	A group of people are in a rowboat in the ocean surrounded by seagulls.	A group of people are inside watching a hockey game.
2	Several men at a bar watch a sports game on the television.	The men are at a baseball game.
2	A person doing a trick on a snowboard.	A person is ice skating.
2	A couple of newlyweds kissing underneath the bride's veil.	The newlyweds are actually vampires.
1	Stick figures in the middle of the street.	A painting of a stick figure
1	A man wearing a business suit holds up a drink as the other laughs.	some men drinking at the bar together
2	A man sits outdoors with some of his belongings.	A man is inside.
1	Shadowed cyclist jumps over camera at sunset as shadowed photographer films.	A cyclist is performing for a new sports show.
2	A woman wearing a bright orange blouse is weaving.	A woman is ironing red pants.
0	A young male wearing a white shirt with a character outlined very darkly.	A young male in a white shirt.
1	A young boy in a dental examination.	A young boy is getting a cavity filled.
0	A woman in a gray dress walks down the street.	A woman is outside.
1	An old woman and a young man examine their bingo cards.	A woman and man are checking their bingo cards to see if they won
0	Three people in uniform are outdoors and are observing a scene which is out of the picture.	Uniformed people are outside
0	Six women wait to use a port-o-john in a field.	Women are outside.
0	A man in an orange hat holds a ball.	A gentleman wearing an orange hat has a ball.
0	A group of brown-haired teenagers doing laundry.	Group of teens are doing laundry.
1	Group of young adults posing for picture near spanish-language sign.	The people are tourists.
2	A man is reading a book while sitting on a bench outside of a bookstore.	A man is playing video games on his phone.
0	a wet golden retriever is walking through a lake	A wet golden retriever is in a lake.
0	A man is posing on a ski board with snow in the background.	A man is posing.
1	A person sitting on a rock beside a waterfall.	A person is taking a break from walking
1	A man preparing to bat in a baseball game.	The man is on a team.
1	2 women and 2 girls crossing the road	A group of girls and women are laughing as they cross the road.
0	A person in a ken-do outfit is standing there waiting.	A human standing.
1	A woman within an orchestra is playing a violin.	A woman is playing a concert.
0	An Ambulance is passing a man wearing a bandanna and girl.	The ambulance isn't stopped by heavy traffic
1	A man is steering his ship out at sea.	A man is sailing to Cuba.
1	A man waiting for the bus in a war torn country.	A man is waiting for a bus sitting on a bench.
0	A little girl on a piece of playground equipment	A kid is doing a thing outside.
2	A person is squatting down near buckets, holding something in one hand.	Someone is standing with a bucket on their head.
1	A group of students are walking through the campus.	There is a school tour going on
2	A group of attentive students are paying attention to a college lecture.	Students are at the park.
1	A young black man is getting his hair buzzed off.	The man has long hair.
2	A girl in a white knit hat and winter gear rubs her tongue over her braces.	The girl is ready to go swimming.
0	A man with a blue, collared shirt sits in front of another man.	a man sits in front of another man
1	Two men, wearing identical shirts look into a classic car hood.	Two people are working on their vehicle.
0	A middle eastern marketplace.	A foreign store.
1	Some dogs are running on a deserted beach.	They are in Hawaii.
0	A man plays a piano painted with an image of a woman on it.	A man plays a piano.
1	A fat woman wearing faint blue top is blowing soap bubble.	A fat woman is wearing pants.
2	A band playing on stage in a club.	The stage crew is cleaning the stage
0	A baby sitting in a highchair looking delighted.	The baby is smiling
2	Asian people about to perform animal balloons.	dog looks at the pond
0	Four men in safety gear, one holding a camera, are standing on a platform.	The men are working
0	A blue truck is driving on a desert road carrying several people and lots of assorted cargo.	A truck driving
0	Two teens trying to win a prize at a carnival.	Two humans are outdoors.
1	The pitcher is pitching the ball in a game of baseball.	The pitcher wants to strike out the last player on the team.
0	A toddler is sitting at the bottom of a slide and smiling.	A child is playing.
0	An enthusiastic boy pushes a shopping cart containing a smiling boy.	A boy is pushing a shopping cart
1	A student in a green shirt is writing in a notebook.	A student studying for a big exam
2	A young boy in green shorts balances on a pipe above a river.	Nobody is balancing.
2	A chef explains different varieties of Tomatoes to consumers.	THe chef is eating fried chicken.
1	A man working at the top of a telephone pole.	A man is checking the telephone wires.
1	A bearded man sits near a white van.	A man waiting for someone near a white van.
0	a blond woman kissing the cheek of a brown-haired man.	A man and a woman sharing a kiss on the cheek.
2	A group of people are standing on steps in front of a building.	A man in a blue shirt poses for the camera.
0	a young boy using a field microscope to identify a field specimen during a field trip.	The boy is looking through a microscope.
0	A child in a maroon shirt playing next to a fountain.	The child is at play.
2	Three men are sitting on a beach dressed in orange with refuse carts in front of them.	Empty trash cans are sitting on a beach.
2	A lab dog is standing on a fallen tree trunk with a guy in the background.	the animal is sitting under tree
1	A fisherman using a cellphone on a boat.	A fisherman uses a cell phone to call his wife.
1	A man in an orange jacket reaches under a busted up blue car on wooden supports.	A man is repairing a car.
1	A dark-skinned person, crouched while painting a sign.	A black man is painting a protest sign.
2	A man in a market holding some very large green onions while smoking a cigarette.	A man is holding apples.
0	A man in a suit with a purple striped tie talking to a lady wearing sunglasses.	A man is chatting with a lady.
2	Some folks pick out the food they want at a party.	A study group sits at a table in the library.
1	A surfer is riding a wave in a large body of water.	This is his first wave of the day.
1	man doing carpentry or construction on top of an unfinished building.	The carpenter was almost finished.
0	A woman in white climbs up a metal structure.	A woman is being athletic.
2	Three children in a black dog kennel.	There are dogs in the kennel.
0	A woman plays in the wind, with a furry brown dog.	A woman is playing with her dog.
2	People at a farmer's market.	People are at a grocery store.
2	This is when daddy taught her how to ride her scooter.	the daddy is dead
1	a breakdancer man is performing for the kids at school	A man is performing for children for fun
0	A white dog with brown spots running on a dirt path	A dog runs on a path.
0	A dog with a purple leash is held by a woman wearing white shoes.	A woman is holding a leash on her dog.
0	Expert snowboard is trying a new trick.	The person is snowboarding.
1	A black man wearing a down jacket with his arms spread and holding a pink comb.	A man was wearing a jacket in winter.
0	Woman reading a book with a grocery tote.	A woman is holding a book.
2	Three girls jumping in front of a house's flower garden.	The girls are playing on a street.
0	A man dressed only in a towel is in a sauna.	A human not wearing any clothes is in a room.
1	A historic-looking building.	An older building
2	A young man waits on a bench with his bag behind a few advertisements in London.	The young man is 60 years old.
1	An elderly man talking to a young boy by a table of produce.	the boy was listening
2	A drunk looking woman is hugging a drunk looking man.	A young boy and girl embrace in front of monkeys at the zoo.
2	Little boy getting soaked playing an outdoor water game.	A girl is playing the piano in her living room.
0	A young woman is wearing a paper crown at an outdoor event.	the woman is outdoors
2	There is a green trash truck in road with a person sweeping sidewalk.	A woman mops.
1	A man stands by two face structures on Easter Island.	A tourist has his picture taken on Easter Island.
2	Two dogs run together near the leaves.	The two dogs are sleeping on the pile of leaves.
0	The dogs are playing on the bed.	Dogs playing together inside.
2	A child plays with her father's boots.	A child is playing with her mothers' shoe.
0	Man in chair laughing and talking to others, while handling books.	Man handling books while sitting in chair.
2	A woman wearing purple and carrying a bag is walking out of a door.	A woman is wearing green.
2	A boy and a woman are on top of large rocks at sunset.	The sun is at its highest point of the day.
2	A young girl in glasses observes something in the distance.	A girl sleeping on the ground.
2	A dog jumping for a Frisbee in the snow.	A cat washes his face and whiskers with his front paw.
0	A young boy giving his brother a piggyback ride	a boy is giving his brother a ride
1	A little girl listens to a cellphone.	She is talking to her dad on her phone.
1	A silhouette of a man fishing.	A man took a fishing trip.
0	Three sailboats with white sails are seen on a riverbank.	The boats are on the water.
0	a child playing with two brooms in front of a pine tree with lights on it.	a child plays with two brooms outside
1	A helmeted male airborne on a bike on a dirt road.	The man doing a trick in the air.
2	One female and two male musicians holding musical equipment.	There four females
0	Two boys in a canoe in front of a larger boat with a storm coming in.	Two boys in a boat
1	A young boy wearing an orange uniform stands on the field near a colorful ball.	A boy is with a soccer ball.
1	A male wearing a football uniform kicking a football during a football game.	A football player is trying to score a goal.
2	Spectators look on as a baseball player runs onto a base while the baseman waits to make the catch.	a cat jumps high
2	A man looks mysterious in a blue shirt and a red truck for a company called Wilbert.	A woman cuts eggplant.
0	Two men stand near a piece of large machinery.	The machinery is very large
1	The white dog is pulling a large stick.	The dog is playing tug of war with a stick.
0	A man in neon green Seahawks sweatshirt leans on a railing.	A man is wearing a football sweatshirt.
0	A runner poses for a picture with friends in a parking lot.	The runner is posing for a picture.
0	Two little girls reading a book at the library.	The girls are in a library.
0	A man and a woman are holding hands on the shore of a lake.	A couple holds hands on the shore.
1	A rugby player swings his leg back to punt the ball.	The rugby player is tall.
1	Five boys in blue shirts drawing at a table.	The boys are working on an art project.
0	A smiling woman and man are seated in front of a microphone in a music studio.	A woman is smiling.
1	Guy in uniform standing on the side of a boat moving through the water.	A man in the Navy is sailing through the water.
0	Two dogs are looking through a rusty wire fence.	Two dogs are in the yard.
0	A woman is petting a dog outside.	A person and an animal are interacting out of doors.
0	A child being watched while getting something out of a tank.	The tank has an opening.
2	A man wearing a jacket is listening to headphones while walking down the sidewalk along a street.	A baby sits in a crib.
2	Two men prepare a fish at a dock.	Two men are sitting in a canoe with their fishing poles
0	A group of men and women are sitting at a table eating and drinking.	A group of people eating and drinking.
0	A woman wearing a straw hat is sitting among a variety of different foods while holding a drink.	A woman is sitting near food.
1	Two men are loading bales of wheat on top of a high structure on a cloudy day.	The two men are not wearing shirts.
0	A boy runs as others play on a homemade slip and slide.	A boy is running.
1	A group of swimmers jump into a pool.	A group of swimmers jump into a pool during a swim meet.
2	Young child standing on a snow pile in a city.	a man on a pile
0	An Asian woman dressed in a colorful outfit laughing.	A woman is wearing colorful clothing.
2	A father and son are in a field of yellow flowers.	People are moving a sofa.
1	A shirtless man skateboards on a ledge.	A tall person without a shirt
0	A young boy in a red shirt is wearing a helmet while sitting on a motorcycle.	A young boy wears a helmet while on a motorcycle.
0	A man does a skating trick off of graffiti-filled stairs.	A man skates outside.
2	Two people climbing up some sort of wore structure.	Two people take a ship to the moon
2	kids are looking at something on a table.	Some kids are burning the table down.
1	Man in chair laughing and talking to others, while handling books.	Man sells books to crowd.
2	The young man in the plaid shirt is sitting on a chair that is out in the yard.	A boy is watching a cartoon from a recliner.
0	A red dog jumps and catches a tennis ball in its mouth.	a dog catching a ball
2	A boy in an all blue uniform kicks a blue soccer ball in a grassy area.	A boy is playing with a squirt gun.
2	A younger couple is walking across a crosswalk outside with a very busy bus stop behind them.	There are people inside of a store.
0	A road worker is holding a stop sign to direct traffic.	Traffic is being directed by a road worker.
1	One woman taking a picture of a second woman as she leans on a table.	Women taking pictures of each other at a restaurant.
1	kids are looking at something on a table.	Some kids are looking at an insect on the kitchen table.
2	Two men are dressed up as snowmen.	two women are dressed up
2	A swimmer is performing the breaststroke in an indoor swimming pool set up for a competition.	A man is riding a bike
2	Three bridesmaids in blue dresses hold the train of a bride's wedding dress.	The three women are exercising in an aerobics class.
0	Group of people standing and sitting in a field of grass.	The people are outside
0	A group of motorcycles wearing black.	Some motorcycles wearing black outside.
1	A grim looking man with sunglasses pilots a boat.	The hungover man drives his boat to work.
1	Two men help each other cut a sheet of plastic.	Two friends help each other by cutting some plastic.
0	Construction worker standing atop an unfinished building.	The construction worker is standing.
1	Man sitting playing guitar.	A man is sitting by a campfire, playing guitar and singing.
1	A speaker is talking with a TV in the background.	The tv volume is turned on low.
0	Many people on the beach holding a very large net.	There are many people in this picture, and they are all outside.
2	Two people are setting up a photo shoot of a mobile in a white room.	The room is black.
2	A tall elder man is standing with his hand around another shorter elder man in the middle of the city	they are sitting on a couch
2	Two girls looking into camera and smiling	The weeping girls have their picture painted.
2	A woman and a young girl are eating side by side.	A man folding his laundry.
1	The person is fishing, with waves splashing around him.	There are lots of fish landing on the person's line today.
1	A dog is walking down steps.	A large dog is walking down the front steps.
0	A cowboy riding a horse at a rodeo.	cowboy riding his horse
0	Three girls blow out the candles of a cake made of Peeps.	There are three girls and a cake
0	A woman with a cart of eggs walks in a market.	A woman browses a market
0	A dark-haired man wearing a black and white t-shirt eats in a park surrounded by people.	A man is eating.
1	An Asian man is performing with face paint on.	The Asian man is drawing a crowd.
2	A dog carries an object in the snow.	A dog is asleep in its dog house.
1	A teenage girl in a crowd of people looking up at something.	no one saw the rainbow in the sky
1	Two people are standing at the end of a wooden dock.	Men fishing from a long wooden dock.
0	A middle eastern marketplace.	A middle easten store.
2	Young Asian girl is sitting on the ground in rubble.	The young girl is walking among the tulips.
2	A kneeling man bends his ear to listen on another in front of a guitar and audio equipment.	Two men play chess together.
1	A man and a child are laughing at each other.	A man and his daughter are making funny faces.
0	Man in traditional costume holding small guitar with a silver bike behind him.	A man is holding a musical instrument.
2	Some children are playing soccer in front of a large wooden door.	The kids are at the beach in the sand.
2	The coaching official and football player are talking in front a crowd and other team members.	Nobody is talking
0	Artist on street corner selling his artwork.	Someone is selling paintings.
0	A mountaineer about to descend down a mountain with a blue helmet on.	A mountaineer is standing on a mountain.
2	A man laughing while at a restaurant.	A man crying while at a restaurant.
0	Two women are getting their pictures taken with a man in his underwear.	There are 3 people in the picture.
0	Two boys run to the entryway of an old building.	Two young men are in a hurry.
0	A man in a white shirt and baseball hat is pushing a cart carrying several bags on a street.	A man is walking outside.
1	A man with no shirt on is performing with a baton.	A man is trying his best at the national championship of baton.
1	A man trying his hardest to climb up a rope.	The man climbing a rope to get to the top.
0	A girl in a costume is performing a dance as other girls in costumes watch.	A girl is dancing.
2	Two little white dogs running.	A dog is sitting in a car.
1	Several men at a bar watch a sports game on the television.	There are men drinking beer at a sports bar.
0	Two silhouetted people paddle a canoe on the ocean during sunset.	two people paddles a canoe on the ocean
1	A man of the cloth puts a black substance on a man's forehead.	The men are at church.
2	Four people walk across stepping stones in a body of water.	Three people are riding in a boat.
0	A man is holding an accordion while leaning against a brown fence that overlooks some water.	A man leans against a fence
2	A girl playfully kicks a guy in the face while another person makes faces.	The boy is at a boxing match.
0	A group of people look to the side and a boy starts to run.	The boy started running.
2	A boy in shorts doing a skateboard trick.	a boy swimming in the ocean
1	A girl in a yellow dress looks at a restaurant building.	A girl debates eating at a certain restaurant.
1	Three women sit together near woven walls.	The woven walls are multicolored.
1	A man in a black leather jacket and a book in his hand speaks in a classroom.	A man is teaching science in a classroom.
0	A young boy in green is practicing kicking.	the your boy is excercizing.
1	A boy wearing a helmet is jumping his skateboard.	A boy is jumping his skateboard while his friends watch.
2	A man is sitting on a blue bench with a blue blanket covering his face.	A man is playing chess while wearing a green tutu.
1	Three men dancing as a group of people watch.	three men are a dancer
2	A man and a woman are dancing in the crowd.	a man and woman dance alone
2	A couple is sitting down smiling, with the woman linking arms with the man.	A couple is standing and frowning.
2	Two men are assisting a small girl in a harness.	The men tying the girl up.
0	The sun breaks through the trees as a child rides a swing.	A child rides a swing in the daytime.
1	A man walking and carrying a notebook.	The man is on his way to class.
1	A man in khakis sitting at a table with a sign that reads "poet for hire."	The guy is looking for a job.
1	A man is dancing in front of a band.	The man is having a good time.
1	A man is holding a cigarette outdoors in front of a blue wall with a sink on it.	A man takes a smoke break from work.
2	a black dog chases a boy wearing red and blue.	a dog chases his tail
1	Two men walking in summer attire.	Two men are walking down the sidewalk.
1	Several women wearing dresses dance in the forest.	The women are older
1	Expert snowboard is trying a new trick.	The person is snowboarding on top of a mountain.
0	A man in green pants and blue shirt pushing a cart.	There is a man wearing cloths.
0	A snowboarder is grinding down a long concrete rail.	The snowboarder is grinding a rail.
2	A baby sitting in a highchair looking delighted.	The baby is crying.
0	Three men sitting in a room looking at their one motorbike and one pedal bike.	Men look at their bikes.
2	People gathered around a table with food and wine on it.	A man is riding a bicycle down the large hill.
1	A girl playing soccer in a green field with some trees in the background.	The girl plays soccer with some friends.
1	Child getting ready to go down a slide.	The child will go down the slide.
1	A woman sweeping in front of a ladder on a busy street.	An employee keeps a storefront looking tidy
1	A Man is eating food next to a child on a bench.	Man eating his food while sitting with his daughter.
1	A boy on a skateboard in midair	The boy is doing a trick.
0	An old woman and a young man examine their bingo cards.	An old woman and young man are playing bingo.
1	Two workers in green uniforms are standing in an alleyway.	The workers are brothers.
0	A man in jeans and a brown shirt jumps high in the air in a living room that has a fireplace and wooden floor.	a man jumps high
2	A little boy is getting is birthday cake and is blowing out the candles.	A girl at school getting a ruler.
1	A man in a yellow shirt and helmet mountain biking down a dusty path.	A man with headphones is biking.
2	Several younger people sitting in front of a statue.	several young people are sitting in an auditorium
2	A man in dark clothing walking in a transit station.	A man wearing a white suit at a wedding.
0	This church choir sings to the masses as they sing joyous songs from the book at a church.	The church is filled with song.
0	A man on a ladder in tall grass.	The man is outdoors.
1	Man and a child at an exhibit booth looking at something.	A man and his son are looking at something.
2	A little boy in flannel pajama pants and an orange shirt is playing the guitar on the couch.	The boy plays the flute
2	A small girl in a green shirt plays on a swing.	old lady sitting on a chair.
0	It is a march of people of different backgrounds all walking and one guy in a green shirt holds a flag.	A man holds a flag.
0	A young man in a blue hoodie doing a flip off of a half-wall that is covered in graffiti.	A man does a flip off a wall.
0	A young boy hanging on a pole smiling at the camera.	The young boy is smiling.
2	A woman in a black coat eats dinner while her dog looks on.	A woman is wearing a blue coat
1	A cyclist dressed in black and white is pointing.	A cyclist dressed in black and white points towards the sky.
0	A young woman is about to descend the stairs into a metro station.	A young lady is outside the train station
1	A man wearing a welding mask working on a duct.	The man is kneeling down.
2	A woman in a pink top is holding a glass bottle in one hand and a Stitch doll in the other.	The doll isn't Stitch
0	A cheerleader in a tight red and white uniform is passing out white t-shirts at a sporting event.	A cheerleader passes out shirts
2	A golfer shoots his ball out of a sand trap.	A duffer hits to the green using a sand wedge.
1	A group of individuals are sitting together in a room.	The people are celebrating their father's birthday at a local restaurant.
2	An orange on the floor next to a dog.	The fruit next to the dog is an apple.
2	A fat woman wearing faint blue top is blowing soap bubble.	A fat woman is topless.
2	A shirtless man skateboards on a ledge.	Everybody has a shirt
2	Three hikers and a dog are walking through the foliage on the hillside.	People are walking along the beach.
0	A small quaint town all lit up during the holiday season.	There are lights in the town.
1	A man in a blue jacket holding a handsaw sawing a pipe on top of a wood fence.	Somebody is wearing work gloves.
0	A young boy, wearing a jesters hat is enjoying himself sledding.	A boy wearing a goofy hat is sledding by himself.
0	A man in a short Mohawk and beard.	The man has a beard and a short Mohawk haircut.
2	A carpenter is working on a roof at a house being built.	A boy is jumping up and down.
1	a woman in a black shirt looking at a bicycle.	A woman dressed in black shops for a bicycle.
2	A surfer is riding a wave in a large body of water.	The surfer is skateboarding.
2	A girl playing soccer in a green field with some trees in the background.	The soccer ball is chasing the girl.
0	The man is trying to make a pottery that he can market soon.	An old man is making pottery to sell.
2	Two people in coats kiss on the side of a road.	Two married people avoid looking at one another.
0	A couple sits in the grass.	People are outside.
1	A woman wearing a yellow jacket skis down a snowy hill.	A woman skis down a hill with a few friends.
2	A girl in a red and white uniform is swinging a bat.	The boy is swinging at his baseball game.
2	An Asian wearing a pastel print shirt and sunhat pushing his cart up the street.	An Asian man is reading the paper.
2	Two girls walking, both with a white shirt and blue shorts on.	Two boys are walking together in white shirts and blue shorts.
1	Man in robe making designs on dirt ground.	An artist preparing some sketches in the dirt.
0	One woman taking a picture of a second woman as she leans on a table.	Women taking pictures of each other.
1	A group of Asian girls are standing together.	The girls are standing outside.
2	A clown performs in a park among other people.	A killer seeks prey.
0	Several women are playing volleyball.	A bunch of women are playing volleyball
0	A boy in a blue jacket rides a skateboard down the street.	A blue jacketed boy is skating down the street.
2	A man performing auto repair in front of a building.	The man is swimming in a pool.
1	A man in a plaid shirt is walking on a street where there are advertisements in Chinese.	He is Chinese.
0	Group of young adults posing for picture near spanish-language sign.	The people are near a sign.
2	The woman in the black shirt hands papers to the children surrounding her.	Woman is keeping the paper to herself.
1	White dog high jumping over some pillows.	The dog is jumping over some pillows to get to a treat.
1	The little boy is smiling as he crosses a rope on an assault course.	Some people have gone to the woods for training.
0	A black man in a long sleeves white collared shirt and a tie is walking to work in a big city.	The man is moving.
1	A birthday party for many little people to enjoy.	Children at a birthday party.
1	Person parasailing with a board in the ocean.	This person is looking at other people.
2	A woman and little girl look into a display case.	A women is sitting alone on a couch with no other human around.
2	a woman working in the storefront of a jewelry shop fixing the display shelf.	A woman buys a ticket at a movie theater.
2	Some cars and many tents are set up at the foot of a mountain.	No one was able to drive to the camp site.
2	Some people are standing in a room around a circular reception desk.	A man is dragging a couch across the room so he can vacuum.
1	skateboarder sliding down a ramp	A skateboarder is taking pictures of himself with his phone.
1	An Indian woman is dancing with her partner.	A woman has dark skin.
2	A black-haired woman with her hair in a high bun is having her head shaved by another woman.	Everybody is bald
0	people are sitting on a bench in front of buildings.	Some people are seated on a bench outside.
0	A train conductor in coveralls is standing in the door of the trail.	A train conductor is standing in a door.
2	A man with a plaid shirt stands with his hand on hip at an opening of a large tree.	a man at the opening of a small bush
1	Two smiling young girls wearing plastic sunglasses are lying on the grass.	The two girls are sisters.
1	People are sitting in a cheery Mexican restaurant.	People are listening to mariachi music
2	A rugby player swings his leg back to punt the ball.	There is a person sitting on the bed.
0	a teenager laying down with paper crafts strewn about the floor	The teen is laying down in a mess.
2	Indian men selling food items on the sidewalk	Men are buying food on the sidewalk.
2	A child is sticking her head out of the 0095 taxi cab and screaming.	A child is at home, resting.
2	A yellow backhoe near a large pile of dirt and rocks near a blue machine with a worker standing on it.	A worker is on a break.
0	A water scene with a sunset in the background.	There is a water scene with the sunset in the back.
0	Two young boys playing with ducks near the water.	Two young friends play with ducks
2	A young blond boy is eating cake with a spoon.	a girl is eating cake
0	An oriental woman cleaning wood outside from a bucket.	A woman is cleaning wood.
0	A brown and white dog holds a tennis ball in his mouth.	A dog mouth holds a retrieved ball.
0	A man sits on a couch beside a colorful cushion with a pencil in his hand.	The man is holding a pencil.
2	Two guys in blue shirts talking.	Two men wearing different color shirts walking past each other.
0	A woman wearing a red helmet is holding a rope and smiling.	A happy woman is holding rope.
0	An older man in a printed shirt, smoking on a busy street.	A man is smoking on a street.
1	Two boys in a canoe in front of a larger boat with a storm coming in.	Boys trying to escape an incoming storm
0	A snowboarder with a maroon coat sails through the air.	A person is snowboarding.
1	A group of three people and one dog hike up a green mountainside.	People are racing up a hill.
0	A young woman is ordering from a red food truck.	A young lady is ordering food.
0	Two little boys are standing in a kitchen.	The kitchen is not empty.
1	A man in colorful shorts is surfing under a wave.	A man on vacation is at the ocean.
2	A man with a beard is playing an acoustic guitar on the street.	A woman flashes bystanders.
1	Three kids in a forest standing on a tree log.	Children enjoying nature.
0	A soldier using binoculars in a desert.	A soldier using binoculars outside in the heat.
0	A brown dog is in the middle of a line of dogs chasing a dirty tennis ball over dirt.	The dogs are chasing a ball.
0	A man in a brown jacket stands with his arms spread.	The man is upright.
0	A musical group performs on stage with their instruments.	A group performs with instruments.
1	A female in the middle of a vehicle is holding a camera and is pointing it towards the backseat.	She is listening to music.
1	A dog hides in the tall grasses along a rocky shore	The dog loves to be here.
1	A younger man dressed in tribal attire.	A young man wheres tribal clothes for a ceremony.
1	A young man standing outside a laundromat.	A man is waiting for his clothes to finish at the laundromat.
0	A fireman with a neon helmet and a pickaxe inspects some debris with a flashlight.	A fireman with an axe looks at some debris.
1	A person is walking a bicycle down a city street.	The bike has a flat tire.
0	A young blond boy is eating cake with a spoon.	a little boy is eating cake
1	A young girl in a pink shirt playing with her barbie.	The young girl is having fun.
2	many children play in the water.	The children are playing mini golf.
0	A woman leans over a small fence to take a picture of a yellow flower.	A woman is taking pictures
0	A toddler sits on a stone wall surrounded by fallen leaves.	A little child sits quietly on a hand built rock wall in autumn
0	Two people are riding at once on one single bicycle.	Two people taking a ride together on a bicyle outside.
2	Three people on skis are standing behind a no skiing sign.	Three people sitting by a fire.
1	A dog opens its mouth to catch a blue and yellow toy.	The puppy is chasing a ball.
1	A man and two kids standing in front of an ancient building.	A man is standing with his sons.
0	A man has wrecked his racing bike in the dirt with five spectators behind a rope.	A man has damaged something.
2	A man does a skating trick off of graffiti-filled stairs.	A man yawns and stretches, tired from a day of work.
0	A man and woman setup a camera.	Two people setup a device
2	A girl wearing a scarf is brushing a horse.	A girl is sitting on a park bench holding a puppy.
2	People are sitting in a cheery Mexican restaurant.	People are ready to order Chinese food
1	Two guys one in a red jacket the other in a leaf print shirt cutting cakes, they look ready to dig in.	The guy is wearing a cap.
1	A man is hanging sausages in a market.	A sad man is hanging sausages in a market.
2	A woman in her swimsuit is kicking a ball on the beach.	A woman lounging on the beach.
0	A young woman dressed in black attaches bags full of flowers to a bicycle.	The woman is wearing dark clothing.
0	A man rides a bicycle while a young girl holds onto the back of him.	A man rides a bike.
1	Man straining to climb cliff face.	Man reaching up to secure a handhold on the cliff face.
2	A woman raises her arms as she looks out over the water at the setting sun.	a woman sleeping in front of a fire
1	Six men in airport standing on moving walkway	Six men are trying to get to their gate at the airport.
1	A bald man with a white shirt and watch eating food and drinking wine.	The man is homeless.
2	A gymnastics performer is in mid-pose as she completes her jump.	A gymnastics performer is stretching.
0	Family gathered together in a house enjoying each other company.	A family is enjoying a night at home.
1	A tree worker with a hard hat is cutting down a branch.	The tree appears to be dead.
2	A man wearing black pants and a helmet is riding a brown horse.	A man is riding a mammoth.
1	The two boys are swimming with boogie boards.	The two boys are swimming and catching a wave
2	A young man is playing a blue guitar.	An old man plays the violin to a group of people.
0	Two men entering a brick home during the snow.	There is snow outside
0	Some children are playing soccer in front of a large wooden door.	The kids are playing soccer.
0	A person throws a red toy for a dog to run for.	A person throws a toy for a dog.
1	A man playing billiards at a bar.	A man is playing with friends.
0	A man biking down a tunnel.	A person is on a bike.
0	Two people are playing wiffle ball in a suburban area.	People are playing a variation of baseball.
1	Two identical brown dogs side by side holding something white in both their mouths.	Two litter brothers fight over a bone.
1	There are two young ladies jogging, by the ocean side.	Two women are running late for a meeting.
0	a small brown and white dog swimming through the pool next to a man.	A man teaches his puppy how to swim.
1	Island native fishermen reeling in their nets after a long day's work.	The men caught many fish.
0	A man is holding a child on his shoulders.	A child is going for a ride on that man.
0	Two men in karate gear using fighting sticks.	two karate men sparring with sticks
1	A man in the bucket of a chery-picker cuts down branches using a chainsaw at the end of a long pole.	A man is working in the sun.
2	A crowd of people standing in front of statues.	The statue is actually a gargoyle and it came to life.
1	A thin brunette woman lounges while reading on a rooftop overlooking a cityscape.	A woman is enjoying the outside weather
0	A brown dog jumps over an obstacle.	The dog is in the air.
2	A group of Asian girls are standing together.	There are boys standing together.
1	Two people talking on a dock.	fishermen at the dock
1	A man with a beard is playing an acoustic guitar on the street.	The man tries to make some money from tips.
0	Artists install a new exhibit in a gallery.	People put up new art at the towns local gallery.
0	A woman wearing sunglasses is frowning.	A woman wearing sunglasses is not smiling.
2	A softball player throws the ball to her teammate.	Two softball players are sitting on a bench.
0	The team swiftly moves their traditional boat down the river.	The people are in a boat
0	Men in an office with computers and a projector screen.	There are computers and a projector screen in the room.
1	People hurrying to get to work in a busy city.	People waiting at a bus stop.
1	A woman working long hours.	A woman is working in a factory.
2	Little girl is flipping an omelet in the kitchen.	A young girl cooks pancakes.
2	A man stands by a load of boxes near a pizza restaurant.	A man stands near a load of boxes on fire.
2	A hurried bicycler moves along a car in a busy street on an allowed bike path.	The cyclist is riding on water.
2	A young boy learns how to ride a horse	The child and his pet play on the bed.
2	Two people talking on a dock.	women shopping at the mall
0	A little dark-haired girl runs on the beach.	The girl with the dark hair is running in the sand.
1	A child stands in a shower with clothes on.	A child's clothes are full of mud in the shower
2	2 women and 2 girls crossing the road	Four male humans crossing the road.
2	3 young man in hoods standing in the middle of a quiet street facing the camera.	Three people sit by a busy street bareheaded.
2	Construction workers are standing upon on a wooden bridge.	The bridge is metal
2	Two men are drumming, one is standing and one is sitting down.	Two women are playing the flute.
1	There are two boats full of people in a river, one is stopped and the other is moving.	One of the boats ran out of gas.
0	A woman in a scarf, laughing, being licked by a dog.	A woman and a dog enjoy time together
1	The brown, furry animal is walking in the snowy grass with a tree behind him.	The animal is walking through a forest.
0	A man in a black shirt overlooking bike maintenance.	A man watches bike repairs.
1	Two teens trying to win a prize at a carnival.	The two young teens tried to throw the ball into the basket to win the big bear.
2	An old woman wearing a ski hat and glasses is sitting on a blue chair.	Nobody is sitting.
0	A policeman is sitting in a van looking out the window.	The policeman is sitting.
1	A woman wearing bike shorts and a skirt is riding a bike and carrying a shoulder bag.	A woman riding a bike to work.
0	The blue kayak is being ridden over a small waterfall.	A kayak is being ridden.
0	A woman in a hooded type coat is holding a golden colored axe.	A woman holds an axe.
